Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
Jolfa,J 88,Late Permian ,Dorashamian (Changxingian),252.26,,C. changxingensis - C. deflecta s.l.,0.707138,Korte et al. (2006)
Meishan D,ch 49,Late Permian ,Changxingian,252.23,,C. changxingensis - C. deflecta s.l.,0.707051,Korte et al. (2006)
Meishan D,ch 50,Late Permian ,Changxingian,252.23,,C. changxingensis - C. deflecta s.l.,0.70705,Korte et al. (2006)
Meishan D,ch 57,Late Permian ,Changxingian,251.96,,C. changxingensis - C. deflecta s.l.,0.707123,Korte et al. (2006)
Meishan D,ch 44,Late Permian ,Changxingian,251.92,,C. changxingensis - C. deflecta s.l.,0.70722,Korte et al. (2006)
Meishan D,ch 46,Late Permian ,Changxingian,251.91,,C. changxingensis - C. deflecta s.l.,0.707109,Korte et al. (2006)
Meishan D,ch 69,Early Triassic,,251.89,,,0.707094,Korte et al. (2006)
Meishan D,ch 73,Early Triassic,,251.85,,,0.707104,Korte et al. (2006)
Meishan D,ch 71,Early Triassic,,251.83,,,0.707166,Korte et al. (2006)
Meishan D,ch 72,Early Triassic,,251.83,,,0.707157,Korte et al. (2006)
Zhongliang (Chongquing),ch 83,Early Triassic,,251.71,,,0.707021,Korte et al. (2006)
Zhongliang (Chongquing),ch 84,Early Triassic,,251.7,,,0.707059,Korte et al. (2006)
Meishan D,ch 70,Early Triassic,,251.7,,,0.707212,Korte et al. (2006)
Meishan D,ch 45,Early Triassic,Changxingian,251.7,,Clarkina zhangi,0.707114,Korte et al. (2006)
Jolfa,J V-6,Early Triassic,Dorashamian (Changxingian),251.58,,Clarkina iranica,0.707046,Korte et al. (2006)
Abadeh,Aba 11 b,Middle Permian,Capitanian,262,,,0.707171,Korte et al. (2006)
Abadeh,Aba 24,Late Permian ,Dzhulfian,256.5,,Clarkina leveni,0.707049,Korte et al. (2006)
Abadeh,Aba 32,Late Permian ,Dzhulfian,255.5,,Clarkina orientalis,0.707113,Korte et al. (2006)
Abadeh,Aba 45,Late Permian ,Dorashamian,253.8,,Clarkina subcarinata,0.707207,Korte et al. (2006)
Pietra dei Saracini,Palaz 6,Early Triassic,Brahmanian,250.91,,Hindeodus parvus,0.70743,Korte et al. (2006)
Pietra dei Saracini,Palaz 7,Early Triassic,Brahmanian,250.82,,Isarcicella isarcisa,0.707354,Korte et al. (2006)
Pietra dei Saracini,Palaz 8,Early Triassic,Brahmanian,250.72,,Isarcicella isarcisa,0.70735,Korte et al. (2006)
Pietra dei Saracini,Palaz 9,Early Triassic,Brahmanian,250.65,,Isarcicella isarcisa,0.707485,Korte et al. (2006)
Pietra dei Saracini,Palaz 10,Early Triassic,Brahmanian,250.45,,Hindeodus postparvus,0.707419,Korte et al. (2006)
Abadeh,Aba 85,Early Triassic,Brahmanian,250.45,,Hindeodus postparvus,0.70727,Korte et al. (2006)
Pietra dei Saracini,Palaz 11,Early Triassic,Brahmanian,249.43,,Neospathodus dieneri,0.707463,Korte et al. (2006)
Pietra dei Saracini,Palaz 13,Early Triassic,Brahmanian,248.38,,Neospathodus dieneri,0.707478,Korte et al. (2006)
Pietra dei Saracini,Palaz 14,Early Triassic,Brahmanian,248.1,,Neospathodus dieneri,0.707679,Korte et al. (2006)
Uomo,Uomo 23,Middle Triassic,Olenekian,246.62,,N. waageni - S. meeki,0.707876,Korte et al. (2006)
Pietra dei Saracini,Palaz 44,Middle Triassic,Olenekian,242.33,,Triassospathodus sosioensis,0.70816,Korte et al. (2006)
Pietra dei Saracini,Palaz 17,Middle Triassic,Olenekian,242.2,,Triassospathodus sosioensis,0.708154,Korte et al. (2006)
Pietra dei Saracini,Palaz 43,Middle Triassic,Olenekian,242.09,,Triassospathodus sosioensis,0.708186,Korte et al. (2006)
Pietra dei Saracini,Palaz 18,Middle Triassic,Olenekian,242,,Triassospathodus sosioensis,0.708172,Korte et al. (2006)
