Sample,Country,Formation,Section,Elevation (m),Period,Age,CIA,WIP,CIAcorr.,References,Shuiyuguan section,Dalongkou section
DLK-23-3,Xinjiang,Guodikeng,Dalongkou section,11.71,Late Permian,Changhsingian,68,46,72,"Xu et al., 2023",,11.71
DLK-23-2,Xinjiang,Guodikeng,Dalongkou section,10.51,Late Permian,Changhsingian,71,45,77,"Xu et al., 2023",,10.51
DLK-23-1,Xinjiang,Guodikeng,Dalongkou section,9.21,Late Permian,Changhsingian,72,43,78,"Xu et al., 2023",,9.21
DLK-22-1,Xinjiang,Guodikeng,Dalongkou section,7,Late Permian,Changhsingian,68,45,71,"Xu et al., 2023",,7
DLK-22-zmb,Xinjiang,Guodikeng,Dalongkou section,4,Late Permian,Changhsingian,69,44,73,"Xu et al., 2023",,4
DLK-21-2,Xinjiang,Guodikeng,Dalongkou section,0,Late Permian,Changhsingian,70,44,75,"Xu et al., 2023",,0
DLK-21-1,Xinjiang,Guodikeng,Dalongkou section,0,Late Permian,Changhsingian,66,43,69,"Xu et al., 2023",,0
DLK-20-1,Xinjiang,Guodikeng,Dalongkou section,-1.07,Late Permian,Changhsingian,66,43,69,"Xu et al., 2023",,-1.07
DLK-19-5,Xinjiang,Guodikeng,Dalongkou section,-3,Late Permian,Changhsingian,68,48,72,"Xu et al., 2023",,-3
DLK-19-4,Xinjiang,Guodikeng,Dalongkou section,-3.5,Late Permian,Changhsingian,67,49,72,"Xu et al., 2023",,-3.5
DLK-19-3,Xinjiang,Guodikeng,Dalongkou section,-4,Late Permian,Changhsingian,70,47,76,"Xu et al., 2023",,-4
DLK-19-2,Xinjiang,Guodikeng,Dalongkou section,-4.5,Late Permian,Changhsingian,65,48,70,"Xu et al., 2023",,-4.5
DLK-19-1,Xinjiang,Guodikeng,Dalongkou section,-5,Late Permian,Changhsingian,68,43,71,"Xu et al., 2023",,-5
DLK-18-6,Xinjiang,Guodikeng,Dalongkou section,-6.76,Late Permian,Changhsingian,63,51,66,"Xu et al., 2023",,-6.76
DLK-18-5,Xinjiang,Guodikeng,Dalongkou section,-7.26,Late Permian,Changhsingian,66,49,68,"Xu et al., 2023",,-7.26
DLK-18-4,Xinjiang,Guodikeng,Dalongkou section,-8.66,Late Permian,Changhsingian,70,44,73,"Xu et al., 2023",,-8.66
DLK-18-3,Xinjiang,Guodikeng,Dalongkou section,-10.56,Late Permian,Changhsingian,67,48,70,"Xu et al., 2023",,-10.56
DLK-18-2,Xinjiang,Guodikeng,Dalongkou section,-12.16,Late Permian,Changhsingian,71,44,76,"Xu et al., 2023",,-12.16
DLK-18-1,Xinjiang,Guodikeng,Dalongkou section,-13.16,Late Permian,Changhsingian,66,43,67,"Xu et al., 2023",,-13.16
DLK-17-1,Xinjiang,Guodikeng,Dalongkou section,-14.6,Late Permian,Changhsingian,69,43,73,"Xu et al., 2023",,-14.6
DLK-15-1,Xinjiang,Guodikeng,Dalongkou section,-19.6,Late Permian,Changhsingian,65,42,67,"Xu et al., 2023",,-19.6
DLK-14-4,Xinjiang,Guodikeng,Dalongkou section,-21.09,Late Permian,Changhsingian,68,41,72,"Xu et al., 2023",,-21.09
DLK-14-3,Xinjiang,Guodikeng,Dalongkou section,-22.19,Late Permian,Changhsingian,64,52,68,"Xu et al., 2023",,-22.19
DLK-14-2,Xinjiang,Guodikeng,Dalongkou section,-24.34,Late Permian,Changhsingian,65,46,68,"Xu et al., 2023",,-24.34
