Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
,IZ99,Triassic,Early Triassic,Smithian,250.96,,,0.707594,"Sedlacek et al., 2014",0.707594,
,IZ98,Triassic,Early Triassic,Smithian,250.98,,,0.707662,"Sedlacek et al., 2014",0.707662,
,IZ96,Triassic,Early Triassic,Dienerian,251.01,,,0.70759,"Sedlacek et al., 2014",0.70759,
,IZ95,Triassic,Early Triassic,Dienerian,251.02,,,0.707585,"Sedlacek et al., 2014",0.707585,
,IS92,Triassic,Early Triassic,Dienerian,251.04,,,0.707548,"Sedlacek et al., 2014",0.707548,
,IS90,Triassic,Early Triassic,Dienerian,251.06,,,0.707605,"Sedlacek et al., 2014",0.707605,
,IS86,Triassic,Early Triassic,Dienerian,251.07,,,0.707517,"Sedlacek et al., 2014",0.707517,
,IS84,Triassic,Early Triassic,Dienerian,251.08,,,0.707524,"Sedlacek et al., 2014",0.707524,
,IS83,Triassic,Early Triassic,Dienerian,251.09,,,0.70749,"Sedlacek et al., 2014",0.70749,
,IS82,Triassic,Early Triassic,Dienerian,251.1,,,0.707514,"Sedlacek et al., 2014",0.707514,
,IS76,Triassic,Early Triassic,Dienerian,251.17,,,0.707473,"Sedlacek et al., 2014",0.707473,
,IS72,Triassic,Early Triassic,Dienerian,251.2,,,0.707503,"Sedlacek et al., 2014",0.707503,
,IS69,Triassic,Early Triassic,Dienerian,251.22,,,0.707489,"Sedlacek et al., 2014",0.707489,
,IS67,Triassic,Early Triassic,Dienerian,251.25,,,0.707468,"Sedlacek et al., 2014",0.707468,
,IS65,Triassic,Early Triassic,Dienerian,251.27,,,0.707484,"Sedlacek et al., 2014",0.707484,
,IS64,Triassic,Early Triassic,Dienerian,251.27,,,0.707501,"Sedlacek et al., 2014",0.707501,
,IS63,Triassic,Early Triassic,Dienerian,251.28,,,0.707513,"Sedlacek et al., 2014",0.707513,
,IS62,Triassic,Early Triassic,Dienerian,251.28,,,0.707498,"Sedlacek et al., 2014",0.707498,
,IS61,Triassic,Early Triassic,Dienerian,251.29,,,0.707501,"Sedlacek et al., 2014",0.707501,
,IZ60,Triassic,Early Triassic,Dienerian,251.3,,,0.707549,"Sedlacek et al., 2014",0.707549,
,IZ47,Triassic,Early Triassic,Dienerian,251.3,,,0.707459,"Sedlacek et al., 2014",0.707459,
,IZ44,Triassic,Early Triassic,Dienerian,251.33,,,0.707539,"Sedlacek et al., 2014",0.707539,
,IZ43,Triassic,Early Triassic,Dienerian,251.33,,,0.707467,"Sedlacek et al., 2014",0.707467,
,IZ39,Triassic,Early Triassic,Dienerian,251.43,,,0.707427,"Sedlacek et al., 2014",0.707427,
,IZ35,Triassic,Early Triassic,Dienerian,251.46,,,0.707397,"Sedlacek et al., 2014",0.707397,
,IZ34,Triassic,Early Triassic,Dienerian,251.47,,,0.707451,"Sedlacek et al., 2014",0.707451,
,IZ32 ,Triassic,Early Triassic,Dienerian,251.49,,,0.707479,"Sedlacek et al., 2014",0.707479,
,IZ29,Triassic,Early Triassic,Dienerian,251.58,,,0.707447,"Sedlacek et al., 2014",0.707447,
,IZ28,Triassic,Early Triassic,Dienerian,251.59,,,0.707396,"Sedlacek et al., 2014",0.707396,
,IZ27,Triassic,Early Triassic,Dienerian,251.6,,,0.707386,"Sedlacek et al., 2014",0.707386,
,IZ26 ,Triassic,Early Triassic,Dienerian,251.61,,,0.707358,"Sedlacek et al., 2014",0.707358,
,IZ25,Triassic,Early Triassic,Dienerian,251.62,,,0.707366,"Sedlacek et al., 2014",0.707366,
,IZ24,Triassic,Early Triassic,Dienerian,251.63,,,0.707401,"Sedlacek et al., 2014",0.707401,
,IZ21,Triassic,Early Triassic,Dienerian,251.67,,,0.707413,"Sedlacek et al., 2014",0.707413,
,IZ20,Triassic,Early Triassic,Griesbachian,251.69,,,0.707594,"Sedlacek et al., 2014",0.707594,
,IZ18 ,Triassic,Early Triassic,Griesbachian,251.73,,,0.707265,"Sedlacek et al., 2014",0.707265,
,IZ14,Permian,Late Permian ,Griesbachian,251.99,,,0.707645,"Sedlacek et al., 2014",0.707645,
,IZ11,Permian,Late Permian ,Griesbachian,252.05,,,0.7072,"Sedlacek et al., 2014",0.7072,
,IZ10,Permian,Late Permian ,Griesbachian,252.07,,,0.707153,"Sedlacek et al., 2014",0.707153,
,IZ8 ,Permian,Late Permian ,Griesbachian,252.11,,,0.707217,"Sedlacek et al., 2014",0.707217,
,IZ6,Permian,Late Permian ,Griesbachian,252.15,,,0.70722,"Sedlacek et al., 2014",0.70722,
,IZ4,Permian,Late Permian ,Changhsingian,252.19,,,0.707212,"Sedlacek et al., 2014",0.707212,
,IZ3,Permian,Late Permian ,Changhsingian,252.21,,,0.707166,"Sedlacek et al., 2014",0.707166,
,IZ2,Permian,Late Permian ,Changhsingian,252.23,,,0.707099,"Sedlacek et al., 2014",0.707099,
,IZ1,Permian,Late Permian ,Changhsingian,252.25,,,0.707072,"Sedlacek et al., 2014",0.707072,
Grodziec,ez 16,Permian,Late Permian ,Zechstein 1,259.2,,,0.707329,"Korte et al., 2006",0.707329,
Zeche Beeckerwerth,ez 36,Permian,Late Permian ,Zechstein 1,259.2,,,0.707205,"Korte et al., 2006",0.707205,
Schuchardt quary,ez 28,Permian,Late Permian ,Zechstein 1,259.2,,,0.707142,"Korte et al., 2006",0.707142,
Grodziec,ez 18,Permian,Late Permian ,Zechstein 1,259.2,,,0.707135,"Korte et al., 2006",0.707135,
Grodziec,ez 4,Permian,Late Permian ,Zechstein 1,259.2,,,0.707108,"Korte et al., 2006",0.707108,
